date,open,high,low,close,volume,ticker,day,vix,turbulence,boll_lb,boll_ub,cci_30,close_30_sma,close_60_sma,dx_30,macd,rsi_30,neg_title,neu_title,pos_title,compound_title,neg_body,neu_body,pos_body,compound_body,aapl,fear greed
2018-01-25,43.62749862670898,43.73749923706055,42.63249969482422,42.77750015258789,166116000,aapl,3,0.11579999923706057,0.058420555971923555,40.86669439198019,43.0241224327966,-141.33759109975196,41.9454084123884,41.9454084123884,24.38162281266268,-0.0515442289126539,34.00229706965774,0.16833333333333333,0.677,0.15466666666666667,0.05460000000000002,0.024999999999999998,0.8756666666666666,0.09966666666666667,0.6332333333333334,0.3870833333333333,0.77
2018-01-29,42.540000915527344,42.540000915527344,41.76750183105469,41.9900016784668,202561600,aapl,0,0.13840000152587892,0.1253538958424286,40.3069894862546,43.21580523725614,-203.22280175896864,41.76139736175537,41.76139736175537,41.17089835358854,-0.1951495964108716,28.31381473991118,0.0,0.94225,0.05775,0.1147,0.013749999999999998,0.902,0.08399999999999999,0.7951,0.4125,0.62
2018-01-30,41.38249969482422,41.84249877929688,41.17499923706055,41.74250030517578,184192800,aapl,1,0.1478999996185303,0.17066429344931175,39.951141932285935,43.342548019891225,-213.7270218365175,41.64684497608858,41.64684497608858,49.45990386908046,-0.2762770186744561,26.680889328373624,0.31,0.69,0.0,-0.2023,0.028,0.859,0.113,0.9728,0.40125,0.61
2018-01-31,41.71749877929688,42.11000061035156,41.625,41.85749816894531,129915600,aapl,2,0.13539999961853028,0.1724674474790641,39.71641798872324,43.38580954016673,-155.8901263673387,41.551113764444985,41.551113764444985,39.94369947210832,-0.3281007926193382,28.658385922990888,0.0,0.9279999999999999,0.072,0.0663,0.053500000000000006,0.8625,0.08399999999999999,0.50205,0.3983333333333334,0.61
2018-02-01,41.79249954223633,42.15499877929688,41.68999862670898,41.94499969482422,188923200,aapl,3,0.1347000026702881,0.06595250855196738,39.55126850853528,43.38843598493717,-129.56477047160502,41.469852246736224,41.469852246736224,38.35960832926975,-0.3585831224562454,30.141637195289675,0.0,0.8705,0.1295,0.21075,0.041499999999999995,0.8825000000000001,0.0765,0.86775,0.4095833333333333,0.58
2018-02-02,41.5,41.70000076293945,40.025001525878906,40.125,346375200,aapl,4,0.17309999465942383,0.21566747377524723,38.95759004673333,43.662252482563545,-191.9022232418091,41.30992126464844,41.30992126464844,57.4225160255433,-0.490904500175624,20.82557622591783,0.0,0.9285,0.0715,0.064,0.03,0.8915,0.0785,0.9857499999999999,0.41,0.17
2018-02-05,39.775001525878906,40.970001220703125,39.0,39.122501373291016,290954000,aapl,0,0.3731999969482422,0.3376718969805997,38.14793317259218,44.03053858338927,-207.2988593305885,41.11968921479725,41.11968921479725,64.62241860947908,-0.6505163709178348,17.707053566787238,0.065,0.935,0.0,-0.064,0.0175,0.8525,0.13,0.97775,0.4129166666666666,0.18
2018-02-06,38.70750045776367,40.93000030517578,38.5,40.75749969482422,272975200,aapl,1,0.2997999954223633,0.16211539644732306,37.86270810031391,44.04583758450055,-160.9220065293802,41.01763569224965,41.01763569224965,67.4891326328457,-0.6617354290706388,34.30459296499322,0.0484,0.9208000000000001,0.0308,-0.048780000000000004,0.0526,0.8808,0.06639999999999999,0.21642,0.4320833333333334,0.18
2018-02-07,40.772499084472656,40.84999847412109,39.76750183105469,39.8849983215332,206434400,aapl,2,0.2772999954223633,0.07950892138418998,37.441405783130975,44.11447152094617,-136.87348060274837,40.88827398548956,40.88827398548956,67.48913263284571,-0.7191290202140621,30.86775232990449,0.09254545454545454,0.8621818181818182,0.04527272727272727,-0.07601818181818182,0.04845454545454546,0.8507272727272728,0.10090909090909092,0.8597272727272728,0.4058333333333334,0.16
2018-02-08,40.0724983215332,40.25,38.75749969482422,38.78749847412109,217562000,aapl,3,0.3345999908447266,0.22644344079030798,36.8353721376728,44.26411135231744,-159.41690591772598,40.72607596715292,40.72607596715292,72.61183225589694,-0.827181224289312,27.307732871244923,0.04033333333333333,0.9209999999999999,0.03866666666666667,-0.0043,0.03833333333333333,0.8685,0.09333333333333334,0.75395,0.4116666666666665,0.1
2018-02-09,39.26750183105469,39.47249984741211,37.560001373291016,39.102500915527344,282690400,aapl,4,0.2905999946594238,0.09754005196304044,36.4213258116228,44.24340807509595,-160.9399994510032,40.59495422363281,40.59495422363281,77.17089472114769,-0.8700282598470892,30.872950372778377,0.0,0.8975,0.1025,0.10115,0.0305,0.8605,0.10999999999999999,0.98485,0.4141666666666665,0.1
2018-02-13,40.48749923706055,41.1875,40.41249847412109,41.084999084472656,130196800,aapl,1,0.24969999313354488,0.05472748879587944,36.27012726526608,43.80094626683841,-61.51915788337536,40.48803287082248,40.48803287082248,40.94269341052095,-0.6859369493321168,43.076509635310266,0.0,0.732,0.268,0.296,0.092,0.798,0.11,0.9568,0.40625,0.1
2018-02-14,40.7599983215332,41.8849983215332,40.720001220703125,41.84249877929688,162579600,aapl,2,0.1926000022888184,0.08348597473820664,36.35364632943862,43.45399679800279,-36.72618041889328,40.47317818232945,40.47317818232945,28.807077576142824,-0.5470520947994402,46.88385404090927,0.1,0.9,0.0,-0.125,0.0195,0.8614999999999999,0.1195,0.86975,0.3845833333333333,0.15
