,ticker,date,title,provider,neg,neu,pos,compound
0,TSLA,2012-05-23,Has The Source Of Innovation Changed ,Atma Business Blog,0.0,0.658,0.342,0.3818
1,TSLA,2012-06-21,Bernanke Speech Disappoints Markets,Binary Options Strategy,0.464,0.536,0.0,-0.3818
2,TSLA,2012-08-05,Can Entrepreneurs Multitask Companies ,Atma Business Blog,0.0,1.0,0.0,0.0
3,TSLA,2012-10-19,Google Caught Naked  Their Loss  Your Gain ,Wade Slome,0.215,0.467,0.318,0.2732
4,TSLA,2012-11-19,13 Mid Cap Stocks With High Projected Earnings Growth,Contextuall,0.0,0.755,0.245,0.3818
5,TSLA,2012-11-28,Tesla Motors Pops As Volume Hits Multi Year Lows,Ophir Gottlieb,0.184,0.816,0.0,-0.2023
6,TSLA,2012-12-13,16 Stocks With Falling Inventory Ratios Being Bought By The Smart Money,Contextuall,0.112,0.699,0.189,0.2732
7,TSLA,2013-02-08,Looking Good  Tesla  ,Tim Knight,0.0,0.408,0.592,0.4404
8,TSLA,2013-02-11,Futures Rise  Eyeing European Politics,Benzinga ,0.0,1.0,0.0,0.0
9,TSLA,2013-02-17,Earnings Reports  Chesapeake  Tesla And Herbalife,Benzinga ,0.0,1.0,0.0,0.0
10,TSLA,2013-02-20,Market Primer  Futures Flat on Global Stimulus ,Benzinga ,0.0,1.0,0.0,0.0
11,TSLA,2013-02-21,Futures Lower on Weak European Manufacturing Data ,Benzinga ,0.505,0.495,0.0,-0.6249
12,TSLA,2013-04-03,U S  futures edge higher ahead of jobs data  Dow Jones up 0 08  ,Investing.com,0.0,1.0,0.0,0.0
13,TSLA,2013-04-03,U S  stocks steady  eyes on ISM report  Dow Jones down 0 01  ,Investing.com,0.0,1.0,0.0,0.0
14,TSLA,2013-04-17,2 Asian ETFs Ready To Cruise Higher,Deron Wagner,0.0,0.667,0.333,0.3612
15,TSLA,2013-04-22,Tesla Keeps Rocketing Higher,Tim Knight,0.0,1.0,0.0,0.0
16,TSLA,2013-04-30,Elon s Golden Touch Continues,Tim Knight,0.0,1.0,0.0,0.0
17,TSLA,2013-05-08,Profit Taking Day In Two Elon Musk Stocks ,Nicholas Santiago,0.0,0.707,0.293,0.4404
18,TSLA,2013-05-09,Tesla Motors  Impulsively Bearish Correction Could Reverse,Rick Ackerman,0.0,1.0,0.0,0.0
19,TSLA,2013-05-10,Stocks Gain On Late Day Rally ,Benzinga ,0.0,0.595,0.405,0.5267
20,TSLA,2013-05-10,Stocks Record Small Losses As Dollar Jumps ,Benzinga ,0.31,0.69,0.0,-0.4019
21,TSLA,2013-05-10,Intraday Record For The Dow Jones Industrial Average,John Nyaradi,0.0,1.0,0.0,0.0
22,TSLA,2013-05-10,Tesla Motors  Earnings Explosion Spectacle Hides Vol Shift,Ophir Gottlieb,0.195,0.805,0.0,-0.1779
23,TSLA,2013-05-14,Tesla Motors  Minimum Upside Objective,Rick Ackerman,0.0,1.0,0.0,0.0
24,TSLA,2013-05-14,Major Averages Closed Mixed As Retail Sales Data Surpasses Expectations,Benzinga ,0.0,1.0,0.0,0.0
25,TSLA,2013-05-16,U S  futures steady ahead of data  Dow Jones up 0 03  ,Investing.com,0.0,1.0,0.0,0.0
26,TSLA,2013-05-16,U S  stocks mixed after economic reports  Dow Jones down 0 05  ,Investing.com,0.0,1.0,0.0,0.0
27,TSLA,2013-05-17,Telsa Motors  Markets As Theatre,Simon Lack,0.0,1.0,0.0,0.0
28,TSLA,2013-05-17,U S  Stocks Pull Back As Economic Data Disappoints ,Benzinga ,0.302,0.698,0.0,-0.3818
29,TSLA,2013-05-23,Days That May Live In Infamy,Kevin Davitt,0.0,1.0,0.0,0.0
30,TSLA,2013-05-24,Can The Electric Car Save The Global Economy ,Investing.com,0.0,0.686,0.314,0.4939
31,TSLA,2013-05-29,Tesla Mania Now In Full Swing,Rick Ackerman,0.0,1.0,0.0,0.0
32,TSLA,2013-05-29,Bull Run Continues As Economic Data Sparks Another Rally,Benzinga ,0.0,1.0,0.0,0.0
33,TSLA,2013-05-30,Tesla Motors  Does It Deserve Its Triple Digit Share Price ,Navin Kr,0.0,0.804,0.196,0.296
34,TSLA,2013-05-30,Sector Detector  Rankings Take A Noticeably Bullish Turn,David Brown,0.0,1.0,0.0,0.0
35,TSLA,2013-06-03,Are Higher Interest Rates Bad For Stocks ,Brian Gilmartin,0.304,0.435,0.261,-0.128
36,TSLA,2013-06-06,Why Tracking Heavily Shorted Stocks Makes Sense,George Leong,0.0,1.0,0.0,0.0
37,TSLA,2013-06-12,U S  Stocks Post First 3 Day Loss This Year,Midnight Trader,0.277,0.723,0.0,-0.3182
38,TSLA,2013-06-13,Tesla Motors Stock Just Doesn t Want To Go Down,Rick Ackerman,0.0,0.86,0.14,0.0772
39,TSLA,2013-06-14,Transformative Energy Technologies  Michael And Chris Berry,The Energy Report,0.0,0.741,0.259,0.2732
40,TSLA,2013-06-20,SolarCity  Timing Is Everything For This IPO,Mitchell Clark,0.0,1.0,0.0,0.0
41,TSLA,2013-07-08,Does Big Oil Deserve More Respect  ,Yale Bock,0.0,0.596,0.404,0.5256
42,TSLA,2013-07-11,Tesla  Is The Good News Done For Now ,Tim Knight,0.0,0.707,0.293,0.4404
43,TSLA,2014-01-14,A Cheaper Tesla Has Arrived  Now  About That Range   ,International Business Times,0.0,1.0,0.0,0.0
44,TSLA,2014-02-18,Tesla 4Q And Full Year Results  Here s What To Look For,International Business Times,0.326,0.674,0.0,-0.7034
45,TSLA,2014-02-19,Tesla Makes Toys For The Rich  Says Chinese Auto Exec,International Business Times,0.0,0.714,0.286,0.5574
46,TSLA,2014-02-20,Tesla shares rally 10  in pre market trade after upbeat Q4 earnings,Investing.com,0.0,0.833,0.167,0.296
47,TSLA,2014-02-27,Tesla Again Captures Wall Street s Imagination With New Battery  Gigafactory  Revelations,International Business Times,0.0,1.0,0.0,0.0
48,TSLA,2014-03-20,Bespoke Legislation  Arizona Courts Tesla,International Business Times,0.0,1.0,0.0,0.0
49,TSLA,2014-03-24,U S  stocks edge lower on factory data  biotech selloff  Dow slips 0 16 ,Investing.com,0.18,0.82,0.0,-0.296
50,TSLA,2014-03-25,T2108 Update  A Day Momentum Died,Dr. Duru,0.474,0.526,0.0,-0.5574
51,TSLA,2014-03-25,Is A Revolution In Industrialization Underway ,Richard Mills,0.0,1.0,0.0,0.0
52,TSLA,2014-03-26,U S  stocks open higher after durable goods report  Dow Jones up 0 42 ,Investing.com,0.0,1.0,0.0,0.0
53,TSLA,2014-03-26,Momentum Stocks Lose Their Momentum,Charles Sizemore,0.403,0.597,0.0,-0.4019
54,TSLA,2014-03-27,When Do Momentum Stocks Become Properly Valued ,Investing.com,0.0,0.674,0.326,0.4404
55,TSLA,2014-03-28,S P Falls  Banks Fail Stress Test  Candy Crush crushed,Danny Riley,0.728,0.272,0.0,-0.8658
56,TSLA,2014-03-28,Goodbye Sweet Bullish Trend,High Chart Patterns,0.0,0.5,0.5,0.4588
57,TSLA,2014-03-28,The Truth About Volatility,Louis Basenese,0.0,0.566,0.434,0.3182
58,TSLA,2014-03-28,MTN Group  The Emerging Market Rally Is Just Getting Started,Charles Sizemore,0.0,1.0,0.0,0.0
59,TSLA,2014-03-30,NASDAQ 100 Testing Rising Support,Chris Kimble,0.0,0.597,0.403,0.4019
60,TSLA,2014-03-30,Twitter Price Chart Update  42  Off Its Highs,Michael Gouvalaris,0.0,1.0,0.0,0.0
61,TSLA,2014-03-31,Palladium Down  Tesla s New Battery Source,MetalMiner,0.0,1.0,0.0,0.0
62,TSLA,2014-04-01,Yahoo   Momentum Dies Hard,Investing.com,0.318,0.682,0.0,-0.1027
63,TSLA,2014-04-02,The Truth About High Frequency Trading  It s Not What You Think ,Michael Ashton,0.0,0.813,0.187,0.3182
64,TSLA,2014-04-02,Hot Money Rotating Out Of Social Media  Into Emerging Markets ,Charles Sizemore,0.0,1.0,0.0,0.0
65,TSLA,2014-04-02,Best Stocks To Buy In April On The Market s Recovery,Deron Wagner,0.0,0.682,0.318,0.6369
66,TSLA,2014-04-04,April 2014 Portfolio Outlook  Strategy Remains Unchanged,Charles Sizemore,0.0,1.0,0.0,0.0
67,TSLA,2014-04-06,Selling Pressure In Growth Names  Amazon  Tesla And IBB,Michael Gouvalaris,0.176,0.48,0.344,0.2732
68,TSLA,2014-04-06,3 European Dividend Stocks To Buy For Europe s Coming QE,Charles Sizemore,0.0,1.0,0.0,0.0
69,TSLA,2014-04-07,What The Equity Bulls Need For The Next Phase ,Cam Hui,0.0,1.0,0.0,0.0
70,TSLA,2014-04-07,Sector Rankings Take Bearish Turn As Flight To Safety Solidifies,Scott Martindale,0.0,0.763,0.237,0.4215
71,TSLA,2014-04-08,Final Bubble Phase For The Stock Market  Final Capitulation For Gold ,Investing.com,0.0,1.0,0.0,0.0
72,TSLA,2014-04-10,Hot Money Flows To The Emerging Markets,Charles Sizemore,0.0,1.0,0.0,0.0
73,TSLA,2014-04-12,Social Media Stocks  Short The Rallies,Charles Sizemore,0.0,1.0,0.0,0.0
74,TSLA,2014-04-12,Continuation Selling Quickly Brings Back Quasi Oversold Conditions,Dr. Duru,0.0,1.0,0.0,0.0
75,TSLA,2014-04-13,Regime Shift  From Momentum To Quality ,Simon Lack,0.0,1.0,0.0,0.0
76,TSLA,2014-04-14,What Is Causing The Selling ,Zacks Investment Research,0.0,1.0,0.0,0.0
77,TSLA,2014-04-16,Chart Inversion Overcomes Bias,Chris Kimble,0.318,0.682,0.0,-0.1027
78,TSLA,2014-04-17,Why Tech Earnings Can t Come Quickly Enough,Estimize,0.0,1.0,0.0,0.0
79,TSLA,2014-04-22,Hip Beijing Drivers Hang On   More Teslas On The Way,International Business Times,0.0,1.0,0.0,0.0
80,TSLA,2014-04-28,Late Rally Caps Choppy U S  Session,Midnight Trader,0.0,1.0,0.0,0.0
81,TSLA,2014-04-30,Key Tech Leader Is Kissing Underside Of Resistance,Chris Kimble,0.0,0.654,0.346,0.5719
82,TSLA,2014-05-06,Tesla s First Quarter  What To Look For,International Business Times,0.0,1.0,0.0,0.0
83,TSLA,2014-05-11,Social Media Stocks  Stay Short  My Friends,Charles Sizemore,0.0,0.659,0.341,0.4767
84,TSLA,2014-05-16,U S  stocks open steady  eyes on UoM report  Dow Jones up 0 02 ,Investing.com,0.0,1.0,0.0,0.0
85,TSLA,2014-05-16,U S  futures edge lower  data in focus  Dow Jones down 0 14 ,Investing.com,0.196,0.804,0.0,-0.296
86,TSLA,2014-05-21,What Not To Buy In A Retirement Plan,Charles Sizemore,0.0,1.0,0.0,0.0
87,TSLA,2014-05-21,Momentum Or Value  Try Both ,Charles Sizemore,0.0,0.625,0.375,0.34
88,TSLA,2014-05-23,Panasonic Aims To Be Sole Producer In Tesla s Multibillion Dollar Factory,International Business Times,0.0,1.0,0.0,0.0
89,TSLA,2014-05-23,SolarCity And The Future Of Electric Companies,Estimize,0.0,1.0,0.0,0.0
90,TSLA,2014-05-29,Google  Tesla And Biotech  A Bear Market Rally ,Chris Kimble,0.0,1.0,0.0,0.0
91,TSLA,2014-06-04,Tesla Will Name Battery  Gigafactory  Sites By End Of Year,International Business Times,0.0,1.0,0.0,0.0
92,TSLA,2014-06-04,U S  stocks open lower on downbeat data  Dow Jones down 0 12 ,Investing.com,0.196,0.804,0.0,-0.296
93,TSLA,2014-06-13,Tesla Releases Patents to Electric Car Competitors,International Business Times,0.0,1.0,0.0,0.0
94,TSLA,2014-06-17,Stock Talk  TSLA  FSLR And GMCR,High Chart Patterns,0.0,1.0,0.0,0.0
95,TSLA,2014-06-18,Market Bursting At The Seams Ahead Of Fed,Dr. Duru,0.0,1.0,0.0,0.0
96,TSLA,2014-06-20,Tesla Motors Expands Reach In Europe  US,International Business Times,0.0,0.667,0.333,0.128
97,TSLA,2014-06-22,Market Mini  Investing In Oil   What You Need To Know Now,James Cornehlsen,0.0,1.0,0.0,0.0
98,TSLA,2014-06-24,Can Tesla Motors Strengthen Its Brand By Giving Away Its Patent ,Frank Holmes,0.0,0.657,0.343,0.5719
99,TSLA,2014-07-02,LG Chem Looks To Cash In On China s Electric Car Push,International Business Times,0.0,1.0,0.0,0.0
100,TSLA,2014-07-02,Looking For A Strong Finish To 2014  Top Stock Picks,Charles Sizemore,0.0,0.579,0.421,0.6249
101,TSLA,2014-07-07,Battery Powered Profits   Courtesy of Tesla,Wall Street Daily,0.0,0.426,0.574,0.6597
102,TSLA,2014-07-07,What s The Paypal Mafia Up To Next ,Robert Williams,0.0,1.0,0.0,0.0
103,TSLA,2014-07-07,The High Beta Stock Hit  What s It Mean ,Gareth Soloway,0.0,1.0,0.0,0.0
104,TSLA,2014-07-08,Tesla Motors Shares Dip After Fiery Model S Crash,International Business Times,0.415,0.407,0.179,-0.4404
105,TSLA,2014-07-09,3 Value Stocks To Trump  Growth Fever ,Zacks Investment Research,0.0,0.444,0.556,0.6124
106,TSLA,2014-07-11,Are You Ready For Doubles And Triples in Uranium Mining Stocks  ,The Energy Report,0.0,0.8,0.2,0.3612
107,TSLA,2014-07-14,SpaceX Rocket Passes U S  Air Force Test  One Step Closer To Contract,International Business Times,0.0,1.0,0.0,0.0
108,TSLA,2014-07-15,Tesla  Furious  Over Hyundai Exec s Comment ,International Business Times,0.425,0.575,0.0,-0.5719
109,TSLA,2014-07-15,Tesla Reveals Name Of BMW 3 Challenger,International Business Times,0.0,0.769,0.231,0.128
110,TSLA,2014-07-16,Tesla names small car to be launched in 2017  Model 3 ,Reuters,0.0,0.857,0.143,0.128
111,TSLA,2014-07-16,Documentary Seeks To Add More Fuel Choices At Gas Pumps,International Business Times,0.0,1.0,0.0,0.0
112,TSLA,2014-07-16,What Will Compete With The Tesla Model 3  Maybe Nothing ,International Business Times,0.0,1.0,0.0,0.0
113,TSLA,2014-07-17,Did Yellen Cause This To Happen To Bio Tech  ,Chris Kimble,0.0,1.0,0.0,0.0
114,TSLA,2014-07-18,Tesla Q2 Earnings Preview  A Sliver Of Profit  ,International Business Times,0.0,0.674,0.326,0.4404
