,id,ticker,title,category,content,date,provider,url,article_id
6214,227729,CHN,Little light shed on progress of U S  China trade talks,news,The U S  Trade Representative office s statement on meetings with Chinese officials in Beijing describes topics the delegations discussed but shed little light on any progress made  The delegation will now report back to receive guidance on the next steps   the statement says The two sides discussed  ways to achieve fairness  reciprocity  and balance  between the U S  and China Topic also included China s pledge to buy  a substantial amount  of agricultural  energy  manufactured goods  and other products and services from the U S The major U S  stock averages pare earlier gains  S P essentially flat  Nasdaq  0 3   Dow  0 3   Dow and Nasdaq had opened up 0 7   while S P gained 0 5  ETFs  YINN  YANG  GXC  CYB  FXP  PGJ  CN  TDF  CNY  CHN  DSUM  CXSE  XPP  FCA  YAO  YXI  FXCH  CBON  KCNY  KGRN  FLCH  WCHNNow read ,2019-01-09,Seeking Alpha,https://www.investing.com/news/stock-market-news/little-light-shed-on-progress-of-uschina-trade-talks-1742454,1742454
6215,227730,CHN,Chinese trade data knocks Asia  U S  futures,news,Asian shares and U S  stock futures started the week on the back foot after a shock contraction in Chinese exports  which fell 4 4  from a year earlier Imports also unexpectedly contracted  falling 7 6   pointing to deepening cracks in the world s second biggest economy amid a bitter trade war with Washington Adding to the worries  China said its trade surplus with the U S  was up 17  to  323B in 2018   the highest it s ever recorded Asia  Shanghai  0 7   Hang Seng  1 5  U S  futures  Dow and S P 500  0 9   Nasdaq  1 1  ETFs  SPY  QQQ  DIA  SH  SSO  VOO  SDS  IVV  SPXU  TQQQ  UPRO  PSQ  SPXL  RSP  SPXS  SQQQ  QID  DOG  QLD  DXD  UDOW  SDOW  VFINX  EPS  DDM  QQEW  QQQE  SPLX  OTC SFLA  QQXT  SPUU  SPXE  UDPIX  OTPIX  RYARX  SPXN  SPDN  SPXT  SPXV  FXI  KWEB  ASHR  YINN  CAF  EWH  CQQQ  YANG  MCHI  GXC  CYB  FXP  PGJ  CN  KBA  TAO  CHIQ  HAO OLD  CHIX  TDF  QQQC OLD  CNY  PEK  CHN  CWEB  CXSE  CHAU  XPP  CNXT  ASHS  AFTY  CHAD  FCA  YAO  YXI  FXCH  ECNS  CHIM  CHII  CHIE  KFYP  EWHS  FCHI  OBOR  ASHX  CNYA  FHK  HAHA  XINA  CNHX  KGRN  CHIH  CHIK  CHIL  CHIR  CHIS  CHIU  FLCH  FLHK  WCHNNow read ,2019-01-14,Seeking Alpha,https://www.investing.com/news/stock-market-news/chinese-trade-data-knocks-asia-us-futures-1745753,1745753
6216,227731,CHN,Equities boosted by China stimulus announcement,news,Stocks gained ground overnight as China announced it would start implementing a package of stimulus measures to boost its economy They include a cut to VAT rates for selected industries and tax rebates for others  helping brighten the outlook for its economy and easing fears about a global slowdown Senior policy officials also pledged that tax reductions on a  larger scale  are in the pipeline  which JPMorgan Chase  NYSE JPM  economists estimate will impact around 2T yuan   300B   or 1 2  of GDP Asia  Nikkei  1   Hang Seng  2   Shanghai  1 4   Sensex  1 1  Europe  FTSE 100  0 2   CAC 30  0 5   DAX  0 3  U S  futures  Dow  0 5   S P 500  0 5   Nasdaq  0 6  Oil is up 0 7  at  50 84 bbl  gold is 0 2  lower at  1288 ounce and the 10 year Treasury yield is down 2 bps to 2 69  ETFs  SPY  QQQ  DIA  SH  SSO  VOO  SDS  IVV  SPXU  TQQQ  UPRO  PSQ  SPXL  RSP  SPXS  SQQQ  QID  DOG  QLD  DXD  UDOW  SDOW  VFINX  EPS  DDM  QQEW  QQQE  SPLX  OTC SFLA  QQXT  SPUU  SPXE  UDPIX  OTPIX  RYARX  SPXN  SPDN  SPXT  SPXV  FXI  KWEB  ASHR  YINN  CAF  EWH  CQQQ  YANG  MCHI  GXC  CYB  FXP  PGJ  CN  KBA  TAO  CHIQ  HAO OLD  CHIX  TDF  QQQC  CNY  PEK  CHN  CWEB  CXSE  CHAU  XPP  CNXT  ASHS  AFTY  CHAD    FCA      YAO  YXI  FXCH  ECNS  CHIM  CHII  CHIE  KFYP  EWHS  FCHI  OBOR  ASHX  CNYA  FHK  HAHA  XINA  CNHX  KGRN  FLCH  FLHK  WCHNNow read ,2019-01-15,Seeking Alpha,https://www.investing.com/news/stock-market-news/equities-boosted-by-china-stimulus-announcement-1746970,1746970
6217,227732,CHN,U S  China trade talks set for Jan  30,news,It s official  China s chief trade negotiator  Vice Premier Liu He  will visit Washington for the next round of talks on Jan  30 31 The visit comes amid a more challenging economic backdrop for China  making it even more pressing to strike a deal Recent data has been poor  with worsening factory sentiment  deflation risks and falling exports  triggering various stimulus from policymakers ETFs  FXI  KWEB  ASHR  YINN  CAF  EWH  CQQQ  YANG  MCHI  GXC  CYB  FXP  PGJ  CN  KBA  TAO  CHIQ  HAO  CHIX  TDF  QQQC OLD  CNY  PEK  CHN  DSUM  CWEB  CXSE  CHAU  XPP  CNXT  ASHS  AFTY  CHAD  FCA  YAO  YXI  FXCH  ECNS  CHIM  CHII  CHIE  KFYP  CBON  KCNY  OBOR  ASHX  CNYA  FHK  HAHA  XINA  CNHX  KGRN  CHIH  CHIK  CHIL  CHIR  CHIS  CHIU  FLCH  FLHK  WCHNNow read ,2019-01-17,Seeking Alpha,https://www.investing.com/news/stock-market-news/uschina-trade-talks-set-for-jan-30-1749446,1749446
6218,227733,CHN,U S  to formally seek extradition of Huawei exec Wanzhou   report,news,The U S  government will proceed with the formal  extradition from Canada of Huawei executive Meng Wanzhou  Canada s  ambassador to the United States tells The Globe and Mail  a move  certain to ratchet up tensions with China Amb  David MacNaughton does not say when the formal extradition request will be made but the  deadline for filing it is Jan  30  according to the report Meng  the daughter of Huawei founder Ren Zhengfei  was arrested at the request of the U S  over alleged violations of U S  sanctions on Iran  she was  released on bail last month and is due in court in Vancouver on Feb 6 ETFs  YINN  YANG  GXC  FXP  PGJ  CN  TDF  CHN  CXSE  XPP  FCA  YAO  YXI  KGRN  FLCH  WCHNNow read ,2019-01-22,Seeking Alpha,https://www.investing.com/news/stock-market-news/us-to-formally-seek-extradition-of-huawei-exec-wanzhou--report-1752975,1752975
6219,227734,CHN,China s industrial profits shrink again,news,There s more downbeat data for China s vast manufacturing sector Industrial profits in December fell 1 9  from a year earlier to 680 8B yuan   100 9B   weighed down by weak factory gate prices  soft demand and a protracted U S  Sino trade war This is on top of a decline of 1 8  in November   the first contraction in profits in nearly three years   and China s slowest economic growth in three decades Shanghai  0 2  to 2 597 ETFs  FXI  KWEB  ASHR  YINN  CAF  EWH  CQQQ  YANG  MCHI  GXC  CYB  FXP  PGJ  CN  KBA  TAO  CHIQ  HAO  CHIX  TDF  QQQC OLD  CNY  PEK  CHN  CWEB  CXSE  CHAU  XPP  CNXT  ASHS  AFTY  CHAD  FCA  YAO  YXI  FXCH  ECNS  CHIM  CHII  CHIE  KFYP  OBOR  ASHX  CNYA  FHK  HAHA  XINA  CNHX  KGRN  CHIH  CHIK  CHIL  CHIR  CHIS  CHIU  FLCH  FLHK  WCHNNow read ,2019-01-28,Seeking Alpha,https://www.investing.com/news/stock-market-news/chinas-industrial-profits-shrink-again-1759329,1759329
6220,227735,CHN,Momentum for China s service sector ,news,China s sprawling services sector maintained a solid pace of expansion in January even though growth moderated slightly  offering some support for the world s second largest economy as manufacturing cools Caixin Markit s services PMI dipped to 53 6 from 53 9 the previous month  but well above the 50 0 mark separating growth from contraction The data contrasted with official figures from Thursday  which pointed to a faster expansion in the non manufacturing sector ETFs  FXI  KWEB  ASHR  YINN  CAF  EWH  CQQQ  YANG  MCHI  GXC  CYB  FXP  PGJ  CN  KBA  TAO  CHIQ  HAO  CHIX  TDF  QQQC OLD  CNY  PEK  CHN  CWEB  CXSE  CHAU  XPP  CNXT  ASHS  AFTY  CHAD  FCA  YAO  YXI  FXCH  ECNS  CHIM  CHII  CHIE  KFYP  OBOR  ASHX  CNYA  FHK  HAHA  XINA  CNHX  KGRN  CHIH  CHIK  CHIL  CHIR  CHIS  CHIU  FLCH  FLHK  WCHNNow read ,2019-02-03,Seeking Alpha,https://www.investing.com/news/stock-market-news/momentum-for-chinas-service-sector-1767911,1767911
6221,227736,CHN,Positive holiday data propels China stocks,news,The Shanghai Composite index rose 1 4  overnight as markets in China reopened after a week long Lunar New Year break China s retailer and catering enterprises earned over 1T yuan   148 3B  during the holiday  defying an economic slump to rise 8 5  from last year Domestic tourism during the week further generated total revenues of 513 9B yuan  up 8 2  Y Y  with the number of trips rising 7 6  to 415M ETFs  FXI  KWEB  ASHR  YINN  CAF  EWH  CQQQ  YANG  MCHI  GXC  CYB  FXP  PGJ  CN  KBA  TAO  CHIQ  HAO  CHIX  TDF  QQQC OLD  CNY  PEK  CHN  CWEB  CXSE  CHAU  XPP  CNXT  ASHS  AFTY  CHAD  FCA  YAO  YXI  FXCH  ECNS  CHIM  CHII  CHIE  KFYP  OBOR  ASHX  CNYA  FHK  HAHA  XINA  CNHX  KGRN  CHIH  CHIK  CHIL  CHIR  CHIS  CHIU  FLCH  FLHK  WCHNNow read ,2019-02-11,Seeking Alpha,https://www.investing.com/news/stock-market-news/positive-holiday-data-propels-china-stocks-1775512,1775512
6231,227746,CHN,Globe goes green as trade talks extended,news,Stocks across the world are marching higher after U S  China trade talks were extended for an unscheduled third day  fueling optimism that the world s largest economies can avoid an all out confrontation Progress was seen on issues including purchases of U S  farm and energy commodities  as well as increased access to China s markets  but the two sides were still ways apart on Chinese structural reforms that would stop alleged theft and forced  U S  technology transfer Asia  Nikkei  1 1   Hang Seng  2 3   Shanghai  0 7   Sensex  0 1  Europe  FTSE 100  0 8   CAC 30  1 1   DAX  1 1  U S  futures  Dow  0 4   S P 500  0 4   Nasdaq  0 5  Oil is up 1 1  at  50 33 bbl  gold is 0 1  lower at  1284 ounce and the 10 year Treasury yield is up 1 bps to 2 72  ETFs  SPY  QQQ  DIA  SH  SSO  VOO  SDS  IVV  SPXU  TQQQ  UPRO  PSQ  SPXL  RSP  SPXS  SQQQ  QID  DOG  QLD  DXD  UDOW  SDOW  VFINX  EPS  DDM  QQEW  QQQE  SPLX  OTC SFLA  QQXT  SPUU  SPXE  UDPIX  OTPIX  RYARX  SPXN  SPDN  SPXT  SPXV  FXI  KWEB  ASHR  YINN  CAF  EWH  CQQQ  YANG  MCHI  GXC  CYB  FXP  PGJ  CN  KBA  TAO  CHIQ  HAO OLD  CHIX  TDF  QQQC  CNY  PEK  CHN  CWEB  CXSE  CHAU  XPP  CNXT  ASHS  AFTY  CHAD    FCA      YAO  YXI  FXCH  ECNS  CHIM  CHII  CHIE  KFYP  EWHS  FCHI  OBOR  ASHX  CNYA  FHK  HAHA  XINA  CNHX  KGRN  FLCH  FLHK  WCHNNow read ,2019-01-09,Seeking Alpha,https://www.investing.com/news/stock-market-news/globe-goes-green-as-trade-talks-extended-1741941,1741941
6234,227749,CHN,China slowdown triggers rocky start to 2019,news,Chinese manufacturing had an even worse December than expected  darkening the mood for global equities and upending U S  stock futures as they start 2019 The Caixin Markit Manufacturing PMI fell to 49 7 in December from 50 2 in November  dropping below the critical 50 level that separates growth from contraction Besides the first shrinking factory activity figure in 19 months  two separate measures for new orders and new export orders showed contraction amid a trade dispute with the U S Asia  Nikkei closed  Hang Seng  3   Shanghai  1 2   Sensex  1 3  Europe  FTSE 100  1 8   CAC 40  2 4   DAX  1 3  U S  futures  Dow  2   S P  2   Nasdaq  2 6  Oil is down 1 8  at  44 61 bbl  gold is up 0 7  to  1291 ounce and the 10 year Treasury yield is flat at 2 69  Previously  Trade war sees China factory activity contract  Dec  31 2018 ETFs  SPY  QQQ  DIA  SH  SSO  VOO  SDS  IVV  SPXU  TQQQ  UPRO  PSQ  SPXL  RSP  SPXS  SQQQ  QID  DOG  QLD  DXD  UDOW  SDOW  VFINX  EPS  DDM  QQEW  QQQE  SPLX  OTC SFLA  QQXT  SPUU  SPXE  UDPIX  OTPIX  RYARX  SPXN  SPDN  SPXT  SPXV  FXI  KWEB  ASHR  YINN  CAF  EWH  CQQQ  YANG  MCHI  GXC  FXP  PGJ  CN  KBA  TAO  CHIQ  HAO OLD  CHIX  TDF  QQQC OLD  PEK  CHN  CWEB  CXSE  CHAU  XPP  CNXT  ASHS  AFTY  CHAD  FCA  YAO  YXI  ECNS  CHIM  CHII  CHIE  KFYP  EWHS  FCHI  OBOR  ASHX  CNYA  FHK  HAHA  XINA  CNHX  KGRN  CHIH  CHIK  CHIL  CHIR  CHIS  CHIU  FLCH  FLHK  WCHNNow read ,2019-01-02,Seeking Alpha,https://www.investing.com/news/stock-market-news/china-slowdown-triggers-rocky-start-to-2019-1734662,1734662
