date,tsla,tesla,elon musk,score
2020-01-01,1.9166666666666667,61.916666666666664,9.5,24.444444444444443
2020-01-02,4.708333333333333,64.29166666666667,7.875,25.625
2020-01-03,8.083333333333334,66.95833333333333,7.875,27.638888888888886
2020-01-04,2.7916666666666665,64.16666666666667,7.75,24.902777777777782
2020-01-05,1.2083333333333333,61.5,8.083333333333334,23.597222222222225
2020-01-06,5.708333333333333,58.5,7.333333333333333,23.847222222222218
2020-01-07,8.125,67.41666666666667,9.25,28.26388888888889
2020-01-08,10.88,68.36,13.24,30.826666666666664
2020-01-09,10.333333333333334,68.95833333333333,31.666666666666668,36.98611111111111
2020-01-10,7.666666666666667,64.5,24.416666666666668,32.19444444444445
2020-01-11,2.5,58.708333333333336,16.166666666666668,25.791666666666668
2020-01-12,1.375,55.0,12.25,22.875
2020-01-13,10.083333333333334,64.16666666666667,9.75,28.0
2020-01-14,13.125,71.5,9.125,31.25
2020-01-15,6.52,43.2,6.2,18.64
2020-01-16,6.666666666666667,41.208333333333336,4.958333333333333,17.61111111111111
2020-01-17,5.458333333333333,39.291666666666664,5.041666666666667,16.59722222222222
2020-01-18,1.625,36.916666666666664,6.208333333333333,14.916666666666666
2020-01-19,1.0,39.541666666666664,5.875,15.472222222222221
2020-01-20,1.7916666666666667,36.916666666666664,5.666666666666667,14.791666666666664
2020-01-21,5.375,40.791666666666664,5.666666666666667,17.277777777777775
2020-01-22,12.6,69.56,9.16,30.439999999999998
2020-01-23,10.333333333333334,72.375,9.458333333333334,30.722222222222218
2020-01-24,8.208333333333334,64.5,9.208333333333334,27.305555555555554
2020-01-25,2.625,55.041666666666664,7.375,21.680555555555554
2020-01-26,1.4583333333333333,51.791666666666664,6.833333333333333,20.02777777777778
2020-01-27,6.625,54.583333333333336,6.916666666666667,22.708333333333332
2020-01-28,7.291666666666667,54.708333333333336,5.791666666666667,22.597222222222225
2020-01-29,6.2,28.16,3.0,12.453333333333333
2020-01-30,8.625,36.208333333333336,3.0416666666666665,15.958333333333334
2020-01-31,4.458333333333333,27.75,5.125,12.444444444444445
2020-02-01,1.7083333333333333,23.041666666666668,5.875,10.208333333333334
2020-02-02,0.75,20.666666666666668,5.166666666666667,8.861111111111112
2020-02-03,7.375,31.416666666666668,3.7916666666666665,14.194444444444445
2020-02-04,16.625,55.041666666666664,5.416666666666667,25.694444444444443
2020-02-05,22.16,71.92,6.56,33.54666666666667
2020-02-06,14.666666666666666,54.875,5.583333333333333,25.041666666666668
2020-02-07,9.75,43.208333333333336,5.041666666666667,19.333333333333332
2020-02-08,2.75,31.75,5.125,13.208333333333334
2020-02-09,1.6666666666666667,29.083333333333332,4.833333333333333,11.861111111111112
2020-02-10,7.333333333333333,35.333333333333336,4.583333333333333,15.750000000000002
2020-02-11,6.916666666666667,33.833333333333336,4.458333333333333,15.069444444444445
2020-02-12,11.92,64.08,8.36,28.12
2020-02-13,15.375,68.79166666666667,8.083333333333334,30.75
2020-02-14,13.375,67.5,6.625,29.166666666666668
