,id,ticker,title,category,content,date,provider,url,article_id
2299,223814,CVV,Major cuts to U S  clean energy research ,news,The Trump administration is poised to ask Congress for deep cuts to clean energy research spending  with a proposal to slash the  budget of the Office of Energy Efficiency and Renewable Energy by 72  to  575 5M According to the Washington Post  the spending reductions would hit programs aimed at driving down the cost of solar energy  as well as fuel efficient vehicles  bioenergy and electric car technologies Related tickers  ASYS  AXTI  CSIQ  CSUN  CVV  DQ  EMKR  ENPH  FSLR  GEX  GLBL  HQCL  JASO  JKS  RGSE  RUN  NRG  SEDG  SOL  SKYS  SPWR  SUNW  TAN  TERP  TSL  TSLA  VSLR  YGEETFs  XLE  TAN  VDE  XOP  ERX  OIH  KOL  GASL  FCG  XES  ERY  DIG  BGR  GUSH  FENY  FAN  IYE  KWT  DUG  DRIP  IEO  FIF  GASX  IEZ  NDP  PXE  PXI  RYE  PSCE  PXJ  CRAK  FXN  DDG  NANR  XE  FTXN  JHME  ERYY  ERGF,2018-02-01,Seeking Alpha,https://www.investing.com/news/stock-market-news/major-cuts-to-us-clean-energy-research-1180565,1180565
2300,223815,CVV,CVD Equipment reports Q1 results,news,CVD Equipment  NASDAQ CVV   Q1 EPS of  0 09Revenue of  9 15M   5 2  Y Y Press ReleaseNow read ,2018-05-15,Seeking Alpha,https://www.investing.com/news/stock-market-news/cvd-equipment-reports-q1-results-1448745,1448745
