ticker,date,title,provider,neg,neu,pos,compound
IBM,2008-10-09,GLOBAL MARKETS Stocks falter  safe havens fall amid market calm,Reuters,0.0,0.606,0.394,0.6369
IBM,2008-10-17,GLOBAL MARKETS Equities rise  helped by earnings  credit,Reuters,0.0,0.729,0.271,0.3818
IBM,2009-01-27,UPDATE 2 Thompson top choice for US commerce sec y  sources,Reuters,0.0,0.816,0.184,0.2023
IBM,2009-01-27,UPDATE 2 Software AG confirms 2009 outlook  shares up,Reuters,0.0,0.761,0.239,0.296
IBM,2009-02-25,GLOBAL MARKETS Global stocks slump on dour outlook  oil jumps,Reuters,0.0,1.0,0.0,0.0
IBM,2009-03-26,COLUMN Computer industry hopes lie in the clouds  Eric Auchard,Reuters,0.0,0.763,0.237,0.4215
IBM,2009-04-06,FOREX Yen  dollar rise as jitters revive  RBA in focus,Reuters,0.0,0.789,0.211,0.34
IBM,2009-04-07,FOREX Yen  dollar rise in twitchy market  RBA in focus,Reuters,0.0,1.0,0.0,0.0
IBM,2009-05-11,COLUMN After Sun  expect new Oracle hardware deals  Eric Auchard,Reuters,0.0,1.0,0.0,0.0
IBM,2009-06-11,US STOCKS SNAPSHOT Wall St extends gains  up 1 pct,Reuters,0.0,0.642,0.358,0.4404
IBM,2009-06-24,US STOCKS Durables data  Oracle boost market  Fed awaited,Reuters,0.102,0.648,0.25,0.3818
IBM,2009-07-02,US STOCKS Bleak payrolls report mauls Wall St  volume thin,Reuters,0.0,1.0,0.0,0.0
IBM,2009-07-10,UPDATE 3 Infosys beats Q1 fcast  flags tough environment,Reuters,0.176,0.824,0.0,-0.128
IBM,2009-07-10,UPDATE 2 Infosys beats Q1 fcast but says environment tough,Reuters,0.179,0.821,0.0,-0.1901
IBM,2009-07-15,US STOCKS Wall St surges on Intel results  data,Reuters,0.0,1.0,0.0,0.0
IBM,2009-07-15,REFILE US STOCKS Intel results  data fuel broad rally on Wall St,Reuters,0.0,1.0,0.0,0.0
IBM,2009-07-15,US STOCKS Intel results  data fuel broad rally on Wall St,Reuters,0.0,1.0,0.0,0.0
IBM,2009-07-16,US STOCKS Wall St rises on tech shares  earnings optimism,Reuters,0.0,0.584,0.416,0.6908
IBM,2009-07-16,US STOCKS Wall St gains on tech shares as IBM results awaited,Reuters,0.075,0.612,0.313,0.5423
IBM,2009-07-16,US STOCKS SNAPSHOT Market gains as tech advances  IBM shares up,Reuters,0.0,0.662,0.338,0.5574
IBM,2009-07-16,JP Morgan lifts FTSE into positive territory,Reuters,0.0,0.449,0.551,0.7297
