date,msft,score
2017-01-01,0.5408333333333334,0.5408333333333334
2017-01-02,0.71125,0.71125
2017-01-03,0.8033333333333332,0.8033333333333332
2017-01-04,0.865,0.865
2017-01-05,0.855,0.855
2017-01-06,0.7929166666666667,0.7929166666666667
2017-01-07,0.6533333333333333,0.6533333333333333
2017-01-08,0.66,0.66
2017-01-09,0.8416666666666667,0.8416666666666667
2017-01-10,0.8966666666666667,0.8966666666666667
2017-01-11,0.885,0.885
2017-01-12,0.88375,0.88375
2017-01-13,0.8179166666666667,0.8179166666666667
2017-01-14,0.6566666666666667,0.6566666666666667
2017-01-15,0.6612,0.6612
2017-01-16,0.8429166666666668,0.8429166666666668
2017-01-17,0.8775,0.8775
2017-01-18,0.8945833333333333,0.8945833333333333
2017-01-19,0.8891666666666667,0.8891666666666667
2017-01-20,0.8120833333333333,0.8120833333333333
2017-01-21,0.6404166666666667,0.6404166666666667
2017-01-22,0.6548,0.6548
2017-01-23,0.8691666666666668,0.8691666666666668
2017-01-24,0.8804166666666667,0.8804166666666667
2017-01-25,0.875,0.875
2017-01-26,0.8233333333333333,0.8233333333333333
2017-01-27,0.7966666666666667,0.7966666666666667
2017-01-28,0.6316666666666666,0.6316666666666666
2017-01-29,0.6431999999999999,0.6431999999999999
2017-01-30,0.8541666666666667,0.8541666666666667
2017-01-31,0.8908333333333333,0.8908333333333333
2017-02-01,0.8841666666666668,0.8841666666666668
2017-02-02,0.8870833333333333,0.8870833333333333
2017-02-03,0.8179166666666667,0.8179166666666667
2017-02-04,0.66,0.66
2017-02-05,0.6092,0.6092
2017-02-06,0.7879166666666667,0.7879166666666667
2017-02-07,0.8354166666666667,0.8354166666666667
2017-02-08,0.8241666666666667,0.8241666666666667
2017-02-09,0.81625,0.81625
2017-02-10,0.76125,0.76125
2017-02-11,0.6058333333333333,0.6058333333333333
2017-02-12,0.652,0.652
2017-02-13,0.8533333333333333,0.8533333333333333
2017-02-14,0.8391666666666667,0.8391666666666667
2017-02-15,0.8716666666666667,0.8716666666666667
2017-02-16,0.8641666666666667,0.8641666666666667
2017-02-17,0.8091666666666667,0.8091666666666667
2017-02-18,0.6370833333333333,0.6370833333333333
2017-02-19,0.6636,0.6636
2017-02-20,0.86,0.86
2017-02-21,0.8795833333333333,0.8795833333333333
2017-02-22,0.8895833333333333,0.8895833333333333
2017-02-23,0.8741666666666668,0.8741666666666668
2017-02-24,0.82375,0.82375
2017-02-25,0.6620833333333332,0.6620833333333332
2017-02-26,0.6192,0.6192
2017-02-27,0.8408333333333333,0.8408333333333333
2017-02-28,0.8495833333333332,0.8495833333333332
2017-03-01,0.8391666666666667,0.8391666666666667
2017-03-02,0.84375,0.84375
