date,steve jobs,aapl,iphone,ipad,macbook,score
2017-01-01,0.7916666666666666,37.291666666666664,82.625,15.541666666666666,6.791666666666667,28.60833333333333
2017-01-02,0.9583333333333334,40.0,83.16666666666667,15.458333333333334,8.083333333333334,29.53333333333334
2017-01-03,0.9166666666666666,39.208333333333336,79.95833333333333,14.375,7.833333333333333,28.458333333333332
2017-01-04,0.7916666666666666,38.041666666666664,78.0,13.875,7.583333333333333,27.65833333333333
2017-01-05,0.7916666666666666,37.166666666666664,76.08333333333333,13.625,7.625,27.05833333333333
2017-01-06,0.9166666666666666,36.958333333333336,76.41666666666667,13.291666666666666,7.333333333333333,26.983333333333338
2017-01-07,0.7916666666666666,37.333333333333336,81.79166666666667,14.5,7.458333333333333,28.375000000000007
2017-01-08,0.92,40.16,86.56,15.88,8.12,30.328000000000003
2017-01-09,1.0833333333333333,38.0,78.04166666666667,13.5,7.75,27.675
2017-01-10,0.9583333333333334,37.75,76.66666666666667,13.208333333333334,7.875,27.291666666666668
2017-01-11,1.0,36.208333333333336,75.20833333333333,13.041666666666666,7.666666666666667,26.625
2017-01-12,0.9166666666666666,35.875,73.875,13.291666666666666,7.458333333333333,26.28333333333333
2017-01-13,0.9583333333333334,35.416666666666664,74.83333333333333,13.166666666666666,7.416666666666667,26.35833333333333
2017-01-14,1.0833333333333333,37.791666666666664,83.0,14.958333333333334,7.708333333333333,28.90833333333334
2017-01-15,0.92,42.68,90.16,16.92,8.48,31.832
2017-01-16,1.0,40.25,83.0,14.541666666666666,8.541666666666666,29.46666666666666
2017-01-17,0.875,39.541666666666664,81.5,14.041666666666666,8.416666666666666,28.874999999999993
2017-01-18,0.9583333333333334,38.666666666666664,80.875,13.75,8.375,28.525
2017-01-19,0.8333333333333334,39.166666666666664,81.45833333333333,14.166666666666666,8.0,28.725
2017-01-20,1.25,37.916666666666664,80.79166666666667,14.0,7.666666666666667,28.325
2017-01-21,0.9166666666666666,39.5,88.79166666666667,15.583333333333334,8.083333333333334,30.575000000000006
2017-01-22,0.92,42.12,90.44,16.36,8.4,31.647999999999996
2017-01-23,0.9583333333333334,40.5,80.66666666666667,14.125,8.416666666666666,28.93333333333333
2017-01-24,0.7916666666666666,39.041666666666664,79.66666666666667,13.833333333333334,8.041666666666666,28.275
2017-01-25,0.9583333333333334,38.625,78.33333333333333,13.791666666666666,8.083333333333334,27.958333333333332
2017-01-26,1.0,38.166666666666664,79.125,13.791666666666666,7.791666666666667,27.974999999999994
2017-01-27,0.9583333333333334,38.5,79.125,14.083333333333334,7.541666666666667,28.041666666666668
2017-01-28,1.125,40.166666666666664,87.41666666666667,15.375,8.0,30.416666666666668
2017-01-29,1.76,42.8,90.36,16.56,8.4,31.976
2017-01-30,1.4583333333333333,40.041666666666664,80.79166666666667,13.958333333333334,7.875,28.825
2017-01-31,1.375,41.0,80.70833333333333,14.041666666666666,8.208333333333334,29.06666666666667
2017-02-01,1.0,40.875,80.20833333333333,14.208333333333334,7.958333333333333,28.85
2017-02-02,1.125,39.625,80.58333333333333,14.0,8.125,28.691666666666663
2017-02-03,1.1666666666666667,39.583333333333336,81.25,14.0,8.041666666666666,28.80833333333333
2017-02-04,0.9583333333333334,41.416666666666664,89.0,15.5,8.166666666666666,31.008333333333333
2017-02-05,1.08,43.56,91.52,16.8,8.6,32.312
2017-02-06,0.9583333333333334,39.916666666666664,79.125,14.041666666666666,7.916666666666667,28.391666666666662
2017-02-07,1.0,40.75,79.58333333333333,14.166666666666666,8.375,28.775
2017-02-08,1.0,39.708333333333336,79.45833333333333,13.875,8.25,28.458333333333332
2017-02-09,1.0,39.166666666666664,80.625,13.791666666666666,7.958333333333333,28.508333333333333
2017-02-10,0.9583333333333334,40.083333333333336,80.20833333333333,14.041666666666666,7.833333333333333,28.625
2017-02-11,1.0,41.916666666666664,89.45833333333333,15.791666666666666,8.083333333333334,31.25
2017-02-12,1.08,41.76,89.84,16.72,8.12,31.504
2017-02-13,0.9583333333333334,39.5,79.54166666666667,13.5,7.666666666666667,28.23333333333333
2017-02-14,1.0416666666666667,37.958333333333336,75.54166666666667,12.541666666666666,7.458333333333333,26.90833333333334
2017-02-15,1.0416666666666667,38.458333333333336,78.58333333333333,13.125,7.416666666666667,27.724999999999994
2017-02-16,0.875,38.375,78.29166666666667,13.583333333333334,7.666666666666667,27.758333333333333
2017-02-17,1.0416666666666667,38.458333333333336,79.25,13.791666666666666,7.583333333333333,28.025
2017-02-18,1.0416666666666667,40.208333333333336,88.45833333333333,15.75,7.666666666666667,30.624999999999993
2017-02-19,1.16,41.28,90.84,16.08,8.0,31.472
2017-02-20,0.9166666666666666,40.041666666666664,81.04166666666667,14.75,8.0,28.95
2017-02-21,1.3333333333333333,38.958333333333336,79.08333333333333,14.083333333333334,8.0,28.291666666666668
2017-02-22,1.0416666666666667,38.875,79.04166666666667,13.958333333333334,8.041666666666666,28.19166666666667
2017-02-23,1.0416666666666667,38.166666666666664,79.0,13.833333333333334,7.666666666666667,27.941666666666663
2017-02-24,1.9583333333333333,39.541666666666664,81.125,14.041666666666666,7.5,28.833333333333332
2017-02-25,1.3333333333333333,40.458333333333336,86.91666666666667,15.458333333333334,8.166666666666666,30.46666666666667
2017-02-26,1.16,41.16,89.56,16.24,8.52,31.328000000000003
2017-02-27,1.0416666666666667,38.833333333333336,78.91666666666667,13.958333333333334,7.791666666666667,28.10833333333333
2017-02-28,1.0833333333333333,38.875,78.70833333333333,13.708333333333334,8.166666666666666,28.10833333333333
