date,ibm,score
2017-01-01,0.2425,0.2425
2017-01-02,0.4625,0.4625
2017-01-03,0.59875,0.59875
2017-01-04,0.6570833333333332,0.6570833333333332
2017-01-05,0.67,0.67
2017-01-06,0.6495833333333333,0.6495833333333333
2017-01-07,0.32333333333333336,0.32333333333333336
2017-01-08,0.29760000000000003,0.29760000000000003
2017-01-09,0.5945833333333334,0.5945833333333334
2017-01-10,0.62375,0.62375
2017-01-11,0.6804166666666667,0.6804166666666667
2017-01-12,0.6808333333333333,0.6808333333333333
2017-01-13,0.6,0.6
2017-01-14,0.2941666666666667,0.2941666666666667
2017-01-15,0.2444,0.2444
2017-01-16,0.46375,0.46375
2017-01-17,0.52125,0.52125
2017-01-18,0.53375,0.53375
2017-01-19,0.5754166666666667,0.5754166666666667
2017-01-20,0.5141666666666667,0.5141666666666667
2017-01-21,0.2658333333333333,0.2658333333333333
2017-01-22,0.2964,0.2964
2017-01-23,0.6770833333333333,0.6770833333333333
2017-01-24,0.67875,0.67875
2017-01-25,0.6941666666666667,0.6941666666666667
2017-01-26,0.6216666666666666,0.6216666666666666
2017-01-27,0.6004166666666666,0.6004166666666666
2017-01-28,0.26875,0.26875
2017-01-29,0.3028,0.3028
2017-01-30,0.6270833333333333,0.6270833333333333
2017-01-31,0.7179166666666668,0.7179166666666668
2017-02-01,0.6825,0.6825
2017-02-02,0.7145833333333332,0.7145833333333332
2017-02-03,0.6891666666666667,0.6891666666666667
2017-02-04,0.35083333333333333,0.35083333333333333
2017-02-05,0.27399999999999997,0.27399999999999997
2017-02-06,0.6,0.6
2017-02-07,0.6304166666666666,0.6304166666666666
2017-02-08,0.6420833333333333,0.6420833333333333
2017-02-09,0.6479166666666667,0.6479166666666667
2017-02-10,0.5775,0.5775
2017-02-11,0.29333333333333333,0.29333333333333333
2017-02-12,0.2768,0.2768
2017-02-13,0.6133333333333334,0.6133333333333334
2017-02-14,0.6558333333333333,0.6558333333333333
2017-02-15,0.6404166666666667,0.6404166666666667
2017-02-16,0.6595833333333333,0.6595833333333333
2017-02-17,0.5995833333333334,0.5995833333333334
2017-02-18,0.29875,0.29875
2017-02-19,0.2704,0.2704
2017-02-20,0.5445833333333333,0.5445833333333333
2017-02-21,0.60375,0.60375
2017-02-22,0.6125,0.6125
2017-02-23,0.6695833333333333,0.6695833333333333
2017-02-24,0.55,0.55
2017-02-25,0.29541666666666666,0.29541666666666666
2017-02-26,0.3176,0.3176
2017-02-27,0.6595833333333333,0.6595833333333333
2017-02-28,0.6895833333333333,0.6895833333333333
2017-03-01,0.6645833333333333,0.6645833333333333
2017-03-02,0.695,0.695
2017-03-03,0.6266666666666666,0.6266666666666666
2017-03-04,0.29833333333333334,0.29833333333333334
2017-03-05,0.2872,0.2872
2017-03-06,0.6508333333333333,0.6508333333333333
2017-03-07,0.7204166666666667,0.7204166666666667
2017-03-08,0.6825,0.6825
2017-03-09,0.6883333333333332,0.6883333333333332
2017-03-10,0.6020833333333333,0.6020833333333333
2017-03-11,0.3141666666666667,0.3141666666666667
2017-03-12,0.2792,0.2792
2017-03-13,0.6354166666666666,0.6354166666666666
2017-03-14,0.6725,0.6725
2017-03-15,0.6520833333333332,0.6520833333333332
2017-03-16,0.68125,0.68125
2017-03-17,0.5925,0.5925
2017-03-18,0.33875,0.33875
2017-03-19,0.2868,0.2868
2017-03-20,0.6016666666666667,0.6016666666666667
2017-03-21,0.6920833333333333,0.6920833333333333
2017-03-22,0.6904166666666667,0.6904166666666667
2017-03-23,0.6433333333333333,0.6433333333333333
2017-03-24,0.5783333333333334,0.5783333333333334
2017-03-25,0.2995833333333333,0.2995833333333333
2017-03-26,0.30519999999999997,0.30519999999999997
2017-03-27,0.7070833333333333,0.7070833333333333
2017-03-28,0.7079166666666667,0.7079166666666667
2017-03-29,0.6945833333333333,0.6945833333333333
2017-03-30,0.70625,0.70625
2017-03-31,0.6533333333333333,0.6533333333333333
2017-04-01,0.3041666666666667,0.3041666666666667
2017-04-02,0.2772,0.2772
2017-04-03,0.57625,0.57625
2017-04-04,0.6229166666666667,0.6229166666666667
2017-04-05,0.6395833333333334,0.6395833333333334
2017-04-06,0.6716666666666667,0.6716666666666667
2017-04-07,0.555,0.555
2017-04-08,0.2875,0.2875
2017-04-09,0.306,0.306
2017-04-10,0.6016666666666667,0.6016666666666667
2017-04-11,0.6333333333333333,0.6333333333333333
2017-04-12,0.635,0.635
2017-04-13,0.6,0.6
2017-04-14,0.39583333333333337,0.39583333333333337
2017-04-15,0.27,0.27
2017-04-16,0.23399999999999999,0.23399999999999999
2017-04-17,0.4379166666666666,0.4379166666666666
2017-04-18,0.56125,0.56125
2017-04-19,0.6416666666666667,0.6416666666666667
2017-04-20,0.59875,0.59875
2017-04-21,0.49416666666666664,0.49416666666666664
2017-04-22,0.24375,0.24375
2017-04-23,0.2968,0.2968
2017-04-24,0.6870833333333333,0.6870833333333333
2017-04-25,0.685,0.685
2017-04-26,0.69625,0.69625
2017-04-27,0.6475,0.6475
2017-04-28,0.59125,0.59125
2017-04-29,0.32458333333333333,0.32458333333333333
2017-04-30,0.272,0.272
2017-05-01,0.48583333333333334,0.48583333333333334
2017-05-02,0.6320833333333333,0.6320833333333333
2017-05-03,0.6604166666666668,0.6604166666666668
2017-05-04,0.6429166666666667,0.6429166666666667
2017-05-05,0.7191666666666667,0.7191666666666667
2017-05-06,0.33291666666666664,0.33291666666666664
2017-05-07,0.3456,0.3456
2017-05-08,0.6895833333333333,0.6895833333333333
2017-05-09,0.7295833333333333,0.7295833333333333
