,date,open,high,low,close,volume,ticker,day,vix,turbulence,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,neg_title,neu_title,pos_title,compound_title,neg_body,neu_body,pos_body,compound_body,aapl,fear greed
0,2018-12-12,-0.007340147610069958,0.0007567663303644778,0.012095833966832004,0.0027870784764618683,-0.24648013925049228,aapl,0.5,0.21459999084472656,0.050005646918927754,-277208.4452111116,16911.94776272539,14140.826883775906,0.37309911757685493,-0.36396158694327935,0.42444140283107534,16369.412068839525,17755.354759768477,0.081,0.794,0.125,0.148,0.038,0.838,0.124,0.9975499999999999,0.4425,0.1
1,2018-12-13,0.0005282370886374732,0.003780881585600415,0.003135716281503109,0.010940329407588933,-0.10466855845311374,aapl,0.75,0.20649999618530276,0.04608851399358295,-17323.322844580496,4263.502777635143,3600.1982187561143,0.3840271756479847,-0.32672564379470165,0.40489635198587187,4139.468972725851,4506.068002796464,0.0,0.854,0.146,0.2553,0.0505,0.8115,0.138,0.9641500000000001,0.44375,0.11
2,2018-12-14,-0.008739547452380148,-0.020223708321499667,-0.02518433615809168,-0.03199789640863593,0.2760340579210372,aapl,1.0,0.21629999160766603,0.33350434531668804,-2044.0746309406334,-1452.02833210707,-1220.5057942366604,0.3645876410115009,-0.3980172043349355,0.457196990928492,-1402.0496986337591,-1534.0877707727975,0.14466666666666667,0.8130000000000001,0.042333333333333334,-0.25910000000000005,0.058666666666666666,0.859,0.08266666666666667,0.37623333333333336,0.45375,0.08
3,2018-12-17,-0.021005935217501825,-0.004317457532727498,-0.015428382566501031,-0.00930617572439374,0.08805587698415618,aapl,0.0,0.24520000457763672,0.08452859098290189,-24409.134891002177,-4939.80108884331,-4177.86605534857,0.35929077062606696,-0.42099004464791884,0.4860324059146441,-4770.884651003882,-5250.750834981244,0.371,0.629,0.0,-0.6486,0.105,0.852,0.043,-0.7845,0.425,0.1
4,2018-12-18,-0.00042304059667996885,-0.0048708482001155184,0.01020096912488544,0.012992611607035354,-0.23587481004969757,aapl,0.25,0.25579999923706054,0.09680105662118313,-12234.387824649544,3471.3004470214773,3008.228097234476,0.3723383785386807,-0.38410970751298423,0.486032405914644,3391.9607976176776,3745.1560007294843,0.1095,0.8905000000000001,0.0,-0.21075,0.025,0.8714999999999999,0.104,0.9102,0.425,0.08
5,2018-12-19,0.0037489121954423776,-0.0004775373463714594,-0.032240422601349294,-0.031191679434868558,0.44932405478480564,aapl,0.5,0.25579999923706054,0.06103482571135524,-2162.1401033398506,-1435.9791260565496,-1243.6344686176853,0.3541923761500837,-0.4487223257139422,0.5436134585169355,-1402.5448707295027,-1552.3635885544493,0.0,1.0,0.0,0.0,0.04275,0.86425,0.09325,0.981325,0.43,0.08
6,2018-12-20,-0.0337349765272027,-0.03189009516399799,-0.023822951620938282,-0.025234185395718534,0.32062315356808635,aapl,0.75,0.283799991607666,0.07756048907535482,-3436.177706752562,-1781.4992981879166,-1511.4130152188047,0.34072870394771565,-0.5406855683998789,0.5796146941211827,-1718.8884725798052,-1908.5336764466574,0.0,0.8805000000000001,0.1195,0.20031666666666667,0.0415,0.8816666666666667,0.07683333333333334,0.5027,0.4316666666666666,0.05
7,2018-12-21,-0.022069784419177396,-0.024366152201408142,-0.036509968174666674,-0.038896324138982474,0.47815602179920647,aapl,1.0,0.3011000061035156,0.1814967647275301,-1551.324058281644,-1163.7544152122655,-956.3294915805616,0.3217203020341222,-0.6524485340024441,0.6267062914703333,-1103.005827991082,-1231.022912711776,0.0,1.0,0.0,0.0,0.015,0.886,0.099,0.976,0.45125,0.03
8,2018-12-24,-0.05552726431197286,-0.04179312378161715,-0.020316837838124435,-0.025873763255991666,-0.6117880277321124,aapl,0.0,0.3606999969482422,0.09684253866629396,-3764.5126887905344,-1765.622591580992,-1397.7078208521061,0.31027243406401467,-0.7319060985062867,0.649226784798359,-1638.9351494592358,-1838.5535151947454,0.0865,0.7655000000000001,0.14800000000000002,-0.012200000000000003,0.032,0.9025,0.0655,0.72115,0.40375,0.02
9,2018-12-27,0.051906869782117226,0.03444408522328013,0.023739757645580895,0.06347453240585588,0.4290622343230417,aapl,0.75,0.29959999084472655,0.04712611100474851,-582.4819783037207,716.6963858939654,559.2025205995137,0.3682597731453343,-0.520305968099903,0.4718752689223956,657.2255825523878,740.6625058223071,0.0,1.0,0.0,0.0,0.0625,0.8685,0.069,-0.10820000000000002,0.43,0.08
10,2018-12-28,0.01065197446816013,0.011162849730861568,0.02985270546339258,0.0005126575129863475,-0.20380818982964055,aapl,1.0,0.2834000015258789,0.015085556743559955,-8581544.376676993,87926.26168778216,68882.18996199114,0.36872064710572816,-0.4320327672575844,0.41818386854986,80807.65289847009,91136.38141905739,0.0,0.7203333333333334,0.2796666666666667,0.41273333333333334,0.05366666666666667,0.8236666666666667,0.12266666666666666,0.9793,0.3904166666666666,0.12
11,2018-12-31,0.0065396747891866,0.005298992652352341,0.01248782036668672,0.009665084050306083,-0.17232581565046323,aapl,0.0,0.25420000076293947,0.027018082674478527,-22789.761361395656,4618.398161084435,3644.4542791433364,0.37758099223153524,-0.36668961478235745,0.39212738884911424,4261.960223174382,4803.390272248321,0.0,1.0,0.0,0.0,0.015,0.889,0.096,0.9524,0.4316666666666666,0.12
12,2019-01-02,-0.022960950089427445,-0.003200266722406142,-0.01437883474842161,0.001141077894952991,0.0581713257245704,aapl,0.5,0.2321999931335449,0.08746107300211028,-1537589.3464908584,38715.72440588171,30833.540678315003,0.3786563949704651,-0.36635953943416044,0.4225080988570839,35862.597522226024,40440.4624365344,0.09011111111111111,0.8742222222222222,0.035666666666666666,-0.043588888888888885,0.042555555555555555,0.8835555555555555,0.07366666666666667,0.5008888888888889,0.4691666666666665,0.12
13,2019-01-03,-0.07043710830331706,-0.08265662183390943,-0.0792971280965632,-0.0996072558902883,1.4652521483705323,aapl,0.75,0.2545000076293945,0.10554276318715462,-220.0789717540749,-437.6035414879948,-348.778483809572,0.32750062293566046,-0.7117857054175796,0.5524697505056733,-406.67542686775727,-459.98341731491536,0.0,0.783,0.217,0.3612,0.034,0.892,0.074,0.9918,0.52,0.1
