date,open,high,low,close,volume,ticker,day,vix,turbulence,boll_lb,boll_ub,cci_30,close_30_sma,close_60_sma,dx_30,macd,rsi_30,neg_title,neu_title,pos_title,compound_title,neg_body,neu_body,pos_body,compound_body,msft,fear greed
2019-05-21,127.43000030517578,127.52999877929688,126.58000183105467,126.9000015258789,15293300,msft,1,0.14949999809265135,0.028813687698621686,119.20362871124485,126.94109251067898,45.82323587573993,121.26794637044271,116.57904408772788,18.784541937753065,1.3543567285549756,58.51597703033848,0.0,1.0,0.0,0.0,0.0,0.844,0.156,0.9575,0.88125,0.34
2019-05-22,126.62000274658205,128.24000549316406,126.5199966430664,127.66999816894533,15396500,msft,2,0.1475,0.055646198654586115,119.48336811493122,126.96423320342817,53.676925829154406,121.5535789489746,116.83337224324544,22.200098482134518,1.3537079546363344,59.37451776132492,0.0985,0.85025,0.051250000000000004,-0.16374999999999998,0.06825,0.81125,0.12075,0.915675,0.88625,0.32
2019-05-23,126.1999969482422,126.29000091552734,124.73999786376952,126.18000030517578,23603800,msft,3,0.16920000076293945,0.07224738917796786,119.43078264428031,126.77482038306344,3.086839741188615,121.76168390909832,117.06666272481284,9.822534281410096,1.222424859969351,57.01257512130943,0.09957142857142856,0.7542857142857143,0.14614285714285716,0.017185714285714297,0.04957142857142858,0.8344285714285714,0.11642857142857142,0.5737428571428572,0.8204166666666667,0.28
2019-05-24,126.91000366210938,127.41999816894533,125.97000122070312,126.23999786376952,14123400,msft,4,0.15850000381469728,0.016012319567895443,119.46188113573396,126.43599712964688,21.555538091294657,121.96721776326496,117.3031795501709,15.622328033991389,1.1102812901613817,57.08368461607333,0.04,0.741,0.219,0.22741666666666668,0.044000000000000004,0.8498333333333333,0.10616666666666667,0.87735,0.7695833333333333,0.27
2019-05-28,126.9800033569336,128.0,126.0500030517578,126.16000366210938,23128400,msft,1,0.175,0.028264730019777102,119.51367890720095,126.08031141872678,22.94820646825081,122.15018157958984,117.53034540812176,18.49837813770029,1.003574106800173,56.95373213588324,0.048125,0.784375,0.16749999999999998,0.132175,0.020875,0.83175,0.1475,0.976425,0.8475,0.23
2019-05-29,125.37999725341795,125.38999938964844,124.04000091552734,124.94000244140624,22763100,msft,2,0.17899999618530274,0.05515743870765266,119.63436109733316,125.45709703254964,-48.06984554225778,122.29045715332032,117.74212926228842,5.213129200920444,0.814088530917914,54.97902546039646,0.0,0.8656,0.1344,0.18164,0.0174,0.8764,0.10640000000000001,0.88216,0.8633333333333333,0.25
2019-05-30,125.26000213623048,125.76000213623048,124.77999877929688,125.7300033569336,16829600,msft,3,0.17299999237060548,0.0570308567985203,119.59129523955744,125.3372844723566,-34.36035276878116,122.46531194051109,117.97571487426758,7.259105947441349,0.7175102527808832,56.00091602946134,0.22150000000000003,0.673,0.1055,-0.15558333333333332,0.030333333333333334,0.851,0.11850000000000001,0.9097166666666667,0.8183333333333332,0.24
2019-05-31,124.2300033569336,124.62000274658205,123.31999969482422,123.68000030517578,26646800,msft,4,0.18709999084472656,0.06581679404461484,119.29415400980407,125.43407093526426,-101.51878658225696,122.54162394205729,118.17533798217774,1.691546672928146,0.4749673504741736,52.784639443619525,0.0,0.8781666666666667,0.12183333333333334,0.15036666666666668,0.034333333333333334,0.8248333333333333,0.1406666666666667,0.9867333333333334,0.7879166666666667,0.24
2019-06-03,123.8499984741211,124.37000274658205,119.01000213623048,119.83999633789062,37983600,msft,0,0.1886000061035156,0.10988225891143476,118.02839579168229,125.8667397063646,-205.0497274539806,122.44215265909833,118.33476804097494,22.183388013607253,-0.0177438626249824,47.49848373421013,0.07333333333333333,0.8088333333333333,0.11783333333333335,0.028533333333333338,0.06966666666666667,0.8220000000000001,0.1085,0.05541666666666667,0.7754166666666668,0.25
2019-06-04,121.27999877929688,123.27999877929688,120.6500015258789,123.16000366210938,29382600,msft,1,0.16969999313354492,0.05307881532998292,117.77968899679855,125.67705843972487,-151.7386772065473,122.43750839233398,118.54596252441408,22.183388013607267,-0.1465524355014196,51.81446350059329,0.02557142857142857,0.8647142857142857,0.10971428571428572,0.09071428571428572,0.06657142857142857,0.8354285714285714,0.098,0.5092,0.82625,0.28
2019-06-05,124.9499969482422,125.87000274658205,124.20999908447266,125.83000183105467,24926100,msft,2,0.1609000015258789,0.06021918040937509,117.81762513281718,125.7141276442824,-40.4667526831233,122.46508814493816,118.7629561106364,6.8846299644757085,-0.0391049023547367,54.89898481293098,0.06030769230769231,0.7777692307692308,0.16176923076923075,0.1716,0.051000000000000004,0.8596153846153847,0.08946153846153847,0.5930461538461539,0.775,0.29
2019-06-06,126.44000244140624,127.97000122070312,125.5999984741211,127.81999969482422,21459000,msft,3,0.1593000030517578,0.03469168859209724,117.83010190526252,125.97074495753048,27.494813810360476,122.57090021769206,118.99940605163576,3.5793372636465106,0.1995801854916408,57.02030930738721,0.060375,0.794,0.145625,0.0312,0.03675,0.840125,0.123125,0.97375,0.7866666666666667,0.29
2019-06-07,129.19000244140625,132.25,128.25999450683594,131.39999389648438,33885600,msft,4,0.16299999237060547,0.034427386598182036,117.440405611544,126.97791714236224,160.18498545728193,122.65909067789714,119.2795778910319,20.52954979545596,0.661451270331952,60.479590714414734,0.04766666666666666,0.7333333333333334,0.219,0.3930666666666667,0.056666666666666664,0.824,0.11866666666666666,0.7985333333333333,0.74875,0.32
2019-06-10,132.39999389648438,134.0800018310547,132.0,132.60000610351562,26477100,msft,0,0.15939999580383302,0.11869917143781884,116.92021444806112,128.07444421282753,228.36286852395,122.76225102742514,119.5777094523112,26.439971891451663,1.108679246448531,61.55266849733791,0.013666666666666667,0.9095555555555556,0.07677777777777778,0.1031111111111111,0.02188888888888889,0.8546666666666667,0.12322222222222222,0.9562222222222222,0.74625,0.37
2019-06-11,133.8800048828125,134.24000549316406,131.27999877929688,132.10000610351562,23913700,msft,1,0.15989999771118163,0.03964823341414597,117.0364315981771,128.85151472140296,200.1572051314917,122.853103129069,119.84648221333822,22.60496382328871,1.4077280311178555,60.840606844399446,0.036153846153846154,0.8426153846153847,0.12123076923076924,0.10536153846153845,0.03423076923076923,0.8553846153846153,0.11038461538461539,0.8251538461538461,0.71875,0.36
2019-06-12,131.39999389648438,131.97000122070312,130.7100067138672,131.49000549316406,17092500,msft,2,0.1590999984741211,0.05157047303314239,117.14654508029224,129.44206347073316,155.4147676425648,122.89747314453123,120.07863871256512,19.536770758020506,1.5787601616863045,59.965152527538,0.0578,0.8366,0.1056,0.015400000000000002,0.041,0.8286,0.1306,0.6004,0.6991666666666667,0.34
2019-06-13,131.97999572753906,133.0,131.55999755859375,132.32000732421875,17200800,msft,3,0.15819999694824222,0.07833726009856888,117.06546323319266,130.13452837447338,169.10047135937373,123.05635604858398,120.3229310353597,23.24700686022885,1.7590236251605944,60.75993968784346,0.122,0.581,0.297,0.4588,0.127,0.78,0.093,-0.9853,0.695,0.39
2019-06-14,132.25999450683594,133.7899932861328,131.63999938964844,132.4499969482422,17821700,msft,4,0.15279999732971192,0.03304817110936179,116.89913300506063,130.64245863922648,157.7409618422361,123.27326583862305,120.5714209238688,26.04298548204392,1.8902738492571984,60.88575457254367,0.020999999999999998,0.8705714285714287,0.10842857142857143,0.11812857142857143,0.045571428571428575,0.8411428571428571,0.11314285714285714,0.6032714285714286,0.6233333333333334,0.38
